country_code,country,year,gdp_per_capita_constant_2015_usd,gdp_growth_annual_pct,adjusted_inflation_annual_pct,adjusted_unemployment_total_pct_ilo_estimate,life_expectancy_years,adjusted_infant_mortality_per_1000_live_births,secondary_school_enrollment_gross_pct,access_to_electricity_pct_population,individuals_using_internet_pct_population,trade_pct_gdp,PC1,PC2,PC3
MEX,Mexico,2014,9862.48125444199,2.50376350288664,-4.01861608078679,-4.819,74.404,-15.4,97.3196868896484,99.2,44.3856962723411,64.0984090351215,1.1232452166479294,-0.24114139747749955,-0.12608499888492883
MEX,Mexico,2015,10021.2386118827,2.70232342550646,-2.72064064964023,-4.311,74.431,-15.0,100.982269287109,99.0,57.4310429923633,70.412974676264,1.4905310303061803,-0.30586948373141143,-0.33020159473580485
MEX,Mexico,2016,10100.5021214015,1.77249323845399,-2.8217078474766,-3.853,74.376,-14.7,102.871368408203,99.5,59.5404459967255,75.6903034088551,1.6706521407878452,-0.4029820080608999,-0.508370866219672
MEX,Mexico,2017,10193.7727193457,1.87172853327193,-6.04145724018986,-3.419,74.261,-14.4,105.11018371582,100.0,53.0317886110982,76.9521260407254,1.662006269409755,-0.4449991515309302,-0.14797674348552822
MEX,Mexico,2018,10296.8690928534,1.97208209405635,-4.89935015356551,-3.275,74.301,-14.0,105.964653015137,99.5,56.6595667981289,80.2126616568975,1.7702202598353702,-0.4203500233169949,-0.28480787804435403
MEX,Mexico,2019,10159.4448364319,-0.392690505066824,-3.63596142127046,-3.477,74.53,-13.7,105.515609741211,99.6,69.6321092705209,77.4619722571128,2.0533901213141306,-0.7623056857366883,-0.8130720145377206
MEX,Mexico,2020,9234.64362317923,-8.35403458167995,-3.39683415570006,-4.44,70.449,-13.4,102.58154296875,99.4,71.49017499,76.8545557056016,1.7153346033287886,-1.9094842080004026,-2.3085192722686236
MEX,Mexico,2021,9728.05680032556,6.0484834621255,-5.68920847683753,-4.019,69.75,-13.1,98.3202514648438,100.0,75.62650476,83.0692976357895,1.3689566789000969,-0.26995685151538795,0.0388353882525435
MEX,Mexico,2022,10013.2479236143,3.70975709163623,-7.8962761916855,-3.256,73.973,-12.8,98.3576583862305,100.0,78.63217894,88.7984855867186,1.9955796737230265,-0.22524597437646665,0.06513512209333103
MEX,Mexico,2023,10259.1766616403,3.35354140652768,-5.52796087314389,-2.765,75.069,-12.4,102.055458068848,99.7,81.18318755,73.5788616365245,2.2015551717160373,-0.323938906968156,-0.05113991279066908
PHL,Philippines,2010,2373.14312064664,7.33449996034538,-3.78983634797591,-3.605,68.883,-23.0,81.5640314318642,85.5,25.0,66.1042785137797,-2.0808982302948964,0.9307523034200359,0.02050543625462346
PHL,Philippines,2011,2416.75212064542,3.85823282795663,-4.7184170471842,-3.592,69.096,-22.7,81.5640314318642,87.2,29.0,60.7958366999075,-1.8223894647081122,0.466184663970798,-0.3785806136540925
PHL,Philippines,2012,2533.74141964959,6.89695171050985,-3.02696391124796,-3.504,69.237,-22.4,81.5640314318642,87.1,30.79999924,57.8420055133082,-1.8519474016024264,0.8319223249347107,-0.05594220287563039
PHL,Philippines,2013,2654.41506933978,6.75053130142255,-2.58268766141795,-3.497,69.283,-22.2,81.5640314318642,87.5,32.70000076,55.8247812320298,-1.778977242684935,0.7973013358729729,-0.10716230755207434
PHL,Philippines,2014,2776.92005909479,6.34798748260867,-3.59782343864211,-3.6,69.311,-22.1,81.5640314318642,89.8,34.70000076,57.4681720875945,-1.5963393122633955,0.7197443407458927,-0.07502308962049056
PHL,Philippines,2015,2909.85818010301,6.34830971672761,-0.674192536845408,-3.068,69.45,-22.1,82.0085254812081,89.1,36.90000153,59.1415921053094,-1.5385243141869542,0.8292087499599304,-0.37500521468649456
PHL,Philippines,2016,3076.3374186759,7.14945675000752,-1.25369880080982,-2.695,69.49,-22.2,82.7837574272484,92.0,39.20000076,61.7760657653871,-1.3296938928354431,0.9261320980794769,-0.20263024335830612
PHL,Philippines,2017,3247.4503878362,6.9309883258402,-2.85318772590947,-2.552,69.966,-22.3,80.9227600097656,93.0,41.59999847,68.1683697426727,-1.1791486580892385,0.9728540811470109,-0.10399618791796529
PHL,Philippines,2018,3410.93647976109,6.34148557153473,-5.30934661627707,-2.338,69.761,-22.5,79.3622469757001,94.2,44.09999847,72.1633982990273,-1.0846637217719801,0.8839399910232214,0.008019188417045015
PHL,Philippines,2019,3575.88170922922,6.11852566221303,-2.39206534422404,-2.237,69.68,-22.6,85.3821865979599,95.3,43.0266118680279,68.8418422595678,-0.9249662258023151,0.7676168583324402,-0.271983934690803
PHL,Philippines,2020,3198.66690008413,-9.51829474045297,-2.3931623931624,-2.522,70.097,-22.7,87.9419879481158,96.4,53.76490021,58.1695603022281,-0.27343258876847104,-1.2001650893380285,-2.625588211999854
PHL,Philippines,2021,3350.97587587776,5.71473313185116,-3.92718022100332,-3.398,66.675,-22.6,85.8666475631511,97.5,66.90779877,63.4846098136712,-0.7652011000246222,0.12293790559315582,-0.4209727113295137
PHL,Philippines,2022,3577.70136573244,7.58098212785563,-5.82115811213955,-2.598,69.472,-22.4,92.291271176651,94.8,75.21114422,72.4296836107599,-0.2877170905501855,0.34272820077837823,0.08011721708905166
PHL,Philippines,2023,3744.69763802928,5.51894967862863,-5.97802515541409,-2.2,69.833,-22.0,91.5493424610693,98.0,77.86699677,67.4199693173966,0.005253429552231322,0.14220107013058472,-0.15262115098027199
ZAF,South Africa,2010,5953.94506512821,3.03973288127956,-4.06749555950263,-24.683,58.886,-36.0,86.5922045596808,82.8,24.0,50.4060871625999,-3.7105055119684924,-2.825272764526184,-0.9379460008353294
ZAF,South Africa,2011,6067.12482726885,3.16855627858818,-5.0008533879502,-24.639,60.602,-34.5,88.9442291259766,83.6,33.97,54.6363504358971,-3.1717664900974216,-2.811712280995613,-0.8186634303471063
